genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm56,140.3333333333349,133.66666666666094,68.00000000000897,1.969271994347798,,,10.499999999999954,4.166666666666556
Fm560,84.00000000000156,87.33333333332766,80.00000000000898,,16.211385091145694,4.227331945333679,,
Fm566,106.66666666666823,110.33333333332763,72.00000000000898,2.4997602190411925,17.45218849182115,4.97950709255046,,
Fm569,84.66666666666822,119.9999999999943,68.000000000009,2.8399231891658734,15.605604489644232,4.080184514401703,,
Fm57,183.0000000000016,93.99999999999434,82.000000000009,,,,,
Fm573,142.00000000000156,106.666666666661,100.00000000000897,,,,,
Fm585,105.33333333333488,127.33333333332767,20.000000000009067,2.259441007644237,15.316801706949732,5.401730578824801,,
Fm589,107.33333333333489,116.66666666666102,96.00000000000898,2.2677186949632655,14.010453542073432,4.003612703941505,,
Fm590,88.66666666666822,89.33333333332769,96.00000000000901,2.256409897740905,16.34437179565416,4.34801171612144,,
Fm592,91.6666666666682,85.33333333332769,88.00000000000904,2.7920763724228275,18.877307256062682,4.9730195656777045,,
Fm595,161.33333333333485,124.3333333333277,80.00000000000905,,,,,
Fm597,143.33333333333485,131.3333333333277,82.00000000000907,,,,,
Fm599,143.66666666666816,120.99999999999436,84.00000000000908,,,,,
Fm600,123.33333333333485,117.99999999999439,72.00000000000911,2.8354500233751865,15.682194391886254,3.8833542825705876,,
Fm601,138.00000000000153,127.66666666666106,100.0000000000091,2.3462373640923806,16.48850727081285,,,
Fm603,93.00000000000153,116.99999999999436,48.00000000000915,2.300003857608554,16.207182566324732,4.585404461622471,,
Fm609,84.33333333333486,94.66666666666104,52.000000000009145,,,,,
Fm610,114.33333333333483,113.33333333332772,84.00000000000914,2.3615168758921334,19.80735270182278,4.535146520976712,,
Fm611,109.0000000000015,107.66666666666104,112.00000000000914,2.4661774334236894,19.068961461384948,4.38934167691335,,
Fm612,107.66666666666818,98.99999999999439,68.00000000000918,2.4267944057439617,17.736089070637885,4.640223888843342,,
Fm614,130.66666666666816,132.99999999999437,88.00000000000918,1.9502718615428052,16.398255030313983,3.6350805841404945,,
Fm615,108.33333333333485,139.9999999999944,80.0000000000092,1.8308917671496323,19.161219914754092,4.2184080370227175,,
Fm616,106.66666666666819,108.99999999999439,92.00000000000918,2.7762095081618026,17.70639165242499,4.2512442154569605,,
Fm620,91.66666666666816,103.99999999999439,88.00000000000921,1.6869214425538779,,,,
Fm621,103.66666666666818,133.66666666666106,76.00000000000922,2.8894079808679756,14.564057032267112,3.8684816867100476,,
Fm63,159.33333333333482,99.99999999999442,68.00000000000924,,,,10.333333333333288,1.333333333333223
Fm65,125.66666666666816,141.9999999999944,92.00000000000922,,19.79157002766913,,11.33333333333329,1.3999999999998907
Fm74,158.66666666666816,115.66666666666107,56.00000000000926,,,,9.999999999999954,0.9999999999998911
Fm78,134.0000000000015,108.99999999999442,32.00000000000925,2.2720248483267946,20.0022614796955,3.8191224242427486,10.166666666666622,6.666666666666559
Fm79,145.66666666666816,113.66666666666106,40.00000000000923,,,,9.16666666666662,2.166666666666558
Fm81,139.0000000000015,125.66666666666106,76.00000000000921,,,,10.999999999999954,1.4999999999998916
Fm83,145.33333333333485,107.9999999999944,52.00000000000922,,,,11.499999999999954,2.666666666666559
Fm84,155.00000000000153,114.33333333332774,72.00000000000921,,,,8.66666666666662,1.3333333333332262
Fm86,145.33333333333485,124.33333333332773,72.0000000000092,1.1541573740999282,,,8.333333333333288,1.4999999999998928
Fm87,157.0000000000015,115.9999999999944,48.00000000000921,,,,9.166666666666622,1.2333333333332275
Fm88,140.6666666666682,104.99999999999439,54.0000000000092,,,,10.499999999999956,3.9999999999998948
Fm91,156.6666666666682,117.66666666666107,64.0000000000092,,,,9.833333333333288,0.5999999999998948
Fm96,156.00000000000153,87.66666666666104,108.0000000000092,,,,9.83333333333329,3.1666666666665617
Fm97,139.66666666666816,122.99999999999439,68.00000000000921,,,,11.333333333333291,2.3333333333332296
Fm13,,127.33333333332808,84.00000000001096,,,,,
Fm142,,99.99999999999459,78.00000000000995,,,,,
Fm157,,100.99999999999466,76.00000000000972,,,,,
Fm161,,86.9999999999947,108.00000000000973,,,,,
Fm39,,103.33333333332767,36.00000000000881,,,,,
Fm60,,112.99999999999436,76.00000000000908,,,,,
